e,5880828
non,10703644
che,15373379
di,19897242
la,22898155
il,25766771
un,28522449
a,31185656
per,33375895
e,35159027
una,36824937
in,38483183
mi,40040150
sono,41585019
si,42995351
ho,44398353
ha,45676733
ma,46931425
lo,48097654
cosa,49224099
con,50334975
no,51438115
le,52540009
ti,53627460
se,54653181
da,55663120
i,56637157
come,57600696
io,58494586
ci,59364664
hai,60162595
questo,60942460
bene,61698529
qui,62413326
sei,63124762
del,63807467
tu,64465855
solo,65074213
mio,65653337
al,66226910
me,66799758
tutto,67339826
te,67864462
era,68374967
della,68861315
mia,69329963
fatto,69790253
fare,70240473
essere,70686320
so,71128060
quando,71563087
lei,71997578
gli,72424272
ora,72850833
ne,73274842
oh,73696503
questa,74110525
detto,74517873
perche,74923574
va,75318826
si,75708433
ok,76085330
quello,76460548
mai,76829804
alla,77191561
o,77551035
anche,77908156
stato,78262999
tutti,78602388
chi,78939470
abbiamo,79276040
dei,79611771
grazie,79947379
molto,80281004
sta,80612537
voglio,80939938
piu,81266221
beh,81585208
tuo,81904167
sia,82216032
lui,82526577
allora,82835823
nel,83144917
cosi,83451912
posso,83755720
piu,84056834
ehi,84354425
prima,84651480
niente,84947787
suo,85242925
tua,85535466
sai,85825844
qualcosa,86113927
siamo,86399606
perche,86685251
fa,86963651
ancora,87239157
davvero,87513754
stai,87788349
sua,88062250
hanno,88335597
casa,88607390
uno,88876178
dove,89144647
vero,89406584
su,89667218
vuoi,89926811
due,90182927
noi,90436145
cosi,90682174
dire,90928028
quindi,91168570
delle,91406776
quella,91636563
altro,91862006
sempre,92087247
andare,92309943
sto,92532568
po,92753579
ad,92974366
li,93189667
devo,93403268
quel,93616648
loro,93827985
forse,94037602
proprio,94242329
certo,94446502
tempo,94645311
nella,94842147
poi,95038548
vi,95234452
vita,95425714
sul,95616401
credo,95806737
cose,95996973
fuori,96187051
anni,96376990
andiamo,96564928
puoi,96751084
quanto,96937188
cui,97121191
visto,97304657
parte,97487565
qualcuno,97667583
voi,97844018
dio,98018918
ciao,98193517
lavoro,98367777
volta,98541674
adesso,98712897
gia,98883041
uomo,99052922
dopo,99222025
stata,99387406
padre,99551872
amico,99713191
bisogno,99873194
devi,100031626
ed,100188777
posto,100344004
via,100497490
nessuno,100650883
fai,100803498
signore,100955222
meglio,101103126
vuole,101247201
dai,101391171
dal,101534792
giorno,101676438
sembra,101817783
cazzo,101958432
vedere,102098436
signor,102237450
ogni,102376352
senza,102513856
modo,102651252
qualche,102788296
dispiace,102923457
dobbiamo,103058198
penso,103191630
ecco,103324860
parlare,103452228
tra,103578842
mamma,103704700
troppo,103829007
sarebbe,103953231
dalla,104077136
ce,104200954
male,104324584
vai,104447153
tanto,104569529
avete,104691875
madre,104813759
fosse,104935592
favore,105057254
nuovo,105178338
sulla,105299321
successo,105419787
sa,105539977
giusto,105659507
possiamo,105778845
miei,105897098
aspetta,106014432
altra,106131693
alle,106247554
avere,106363138
farlo,106477782
facendo,106591661
abbia,106704837
aveva,106817430
momento,106929855
ero,107042112
gia,107154297
